time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2020-05-03 16:42:34.693 UTC, , , , , , , , , ,125,3160469,14504,112, ,3, , , , , , , , , , , ,3,3, , , ,2,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67995635712,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588523674509,,, , , , , , , , , ,3145728,1592, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,81894504, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 16:44:28.587 UTC, , , , , , , , , ,125,3158877,13024, , ,3, ,21,3,0,14, , , , , , , ,3,3, ,2, ,2,1,5, ,18,10, , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67995455488,57,57,57,57, , , , , ,1,23, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588524268431,,, , , , , , , , , ,3145728,1377, , , , , , ,17, , ,2, , ,3, , ,17, ,2048,1, , , , , ,98828,28, , , , , , ,1,27,3,20,53013536, , , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 16:45:28.595 UTC, , , , , , , , , ,125,3160469,14504,112, ,3, ,3, , , , , , , , , ,3,3, , , ,2,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67918204928,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588524268431,,, , , , , , , , , ,3145728,1592, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,59565456,2, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 16:46:28.597 UTC, , , , , , , , , ,125,3160469,14504,112, ,3, , , , , , , , , , , ,3,3, , , ,2,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67913469952,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588524268431,,, , , , , , , , , ,3145728,1592, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,59565456,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 16:47:28.598 UTC, , , , , , , , , ,125,3160469,14504,112, ,3, , , , , , , , , , , ,3,3, , , ,2,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67917193216,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588524268431,,, , , , , , , , , ,3145728,1592, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,59565456,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 16:48:28.602 UTC, , , , , , , , , ,125,3160469,14504,112, ,3, , , , , , , , , , , ,3,3, , , ,2,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67917205504,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588524268431,,, , , , , , , , , ,3145728,1592, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,59565456,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 16:49:28.607 UTC, , , , , , , , , ,125,3160469,14504,112, ,3, , , , , , , , , , , ,3,3, , , ,2,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67917135872,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588524268431,,, , , , , , , , , ,3145728,1592, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,60876248,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 16:50:28.612 UTC, , , , , , , , , ,125,3160469,14504,112, ,3, , , , , , , , , , , ,3,3, , , ,2,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67916849152,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588524268431,,, , , , , , , , , ,3145728,1592, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,60876248,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 16:51:28.617 UTC, , , , , , , , , ,125,3160469,14504,112, ,3, , , , , , , , , , , ,3,3, , , ,2,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67800514560,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588524268431,,, , , , , , , , , ,3145728,1592, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,60876248,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 16:52:28.621 UTC, , , , , , , , , ,125,3160469,14504,112, ,3, , , , , , , , , , , ,3,3, , , ,2,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67800961024,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588524268431,,, , , , , , , , , ,3145728,1592, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,60876248, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
